Posture,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
prone,-0.05,0.09,-0.99,0.06,0.12,-0.24,-4.00,-24.00,-60.00
prone,-0.05,0.09,-0.99,0.00,0.06,-0.18,-4.00,-21.00,-63.00
prone,-0.05,0.09,-0.99,0.06,0.06,-0.24,-6.00,-24.00,-58.00
prone,-0.05,0.10,-0.99,0.00,0.12,-0.12,-4.00,-22.00,-61.00
prone,-0.05,0.09,-0.99,0.00,0.12,-0.12,-6.00,-23.00,-59.00
prone,-0.05,0.10,-0.99,0.06,0.06,-0.18,-4.00,-22.00,-61.00
prone,-0.05,0.09,-0.99,0.06,0.00,-0.12,-6.00,-21.00,-58.00
prone,-0.05,0.09,-0.99,0.00,0.12,-0.12,-6.00,-24.00,-58.00
prone,-0.05,0.09,-0.99,0.06,0.06,-0.12,-3.00,-22.00,-61.00
prone,-0.05,0.09,-0.99,0.06,0.12,-0.06,-6.00,-25.00,-57.00
prone,-0.05,0.09,-0.99,0.00,0.06,-0.18,-5.00,-23.00,-59.00
prone,-0.05,0.09,-0.99,0.06,0.06,-0.12,-6.00,-23.00,-58.00
prone,-0.05,0.09,-0.99,0.06,0.06,-0.18,-6.00,-20.00,-59.00
prone,-0.05,0.09,-0.99,0.00,0.24,-0.12,-7.00,-23.00,-58.00
prone,-0.05,0.09,-0.99,0.00,0.18,-0.18,-5.00,-23.00,-62.00
prone,-0.05,0.09,-0.99,0.06,0.12,-0.12,-4.00,-25.00,-59.00
prone,-0.05,0.09,-0.99,0.06,0.06,-0.12,-5.00,-25.00,-59.00
prone,-0.05,0.09,-0.99,0.12,0.06,-0.12,-5.00,-23.00,-60.00
prone,-0.05,0.09,-0.99,0.06,0.12,-0.12,-5.00,-23.00,-64.00
prone,-0.05,0.09,-0.99,0.06,0.06,-0.18,-6.00,-23.00,-59.00
prone,-0.05,0.09,-0.99,0.00,0.06,-0.06,-5.00,-24.00,-61.00
prone,-0.05,0.09,-0.99,0.06,0.06,-0.18,-5.00,-23.00,-62.00
prone,-0.05,0.09,-0.99,0.06,0.00,-0.12,-5.00,-23.00,-63.00
prone,-0.05,0.09,-0.99,0.06,0.06,-0.18,-6.00,-23.00,-67.00
prone,-0.05,0.09,-0.99,0.00,0.06,-0.18,-5.00,-22.00,-59.00
prone,-0.05,0.09,-0.99,0.06,0.00,-0.12,-4.00,-22.00,-62.00
prone,-0.05,0.09,-0.99,0.00,0.12,-0.12,-5.00,-24.00,-63.00
prone,-0.05,0.09,-0.99,0.00,0.12,-0.18,-4.00,-23.00,-59.00
prone,-0.05,0.09,-0.99,0.06,0.12,-0.12,-4.00,-23.00,-63.00
prone,-0.05,0.09,-0.99,0.06,0.12,0.00,-3.00,-22.00,-61.00
prone,-0.05,0.09,-0.99,0.00,0.06,-0.18,-5.00,-24.00,-62.00
prone,-0.05,0.09,-0.99,0.06,0.06,-0.06,-6.00,-24.00,-61.00
prone,-0.05,0.09,-0.99,0.06,0.06,-0.12,-5.00,-23.00,-62.00
prone,-0.05,0.09,-0.99,0.00,0.06,-0.18,-6.00,-23.00,-56.00
prone,-0.05,0.09,-0.99,0.06,0.12,-0.12,-5.00,-23.00,-58.00
prone,-0.05,0.09,-0.99,0.06,0.12,-0.31,-4.00,-21.00,-63.00
prone,-0.05,0.09,-0.99,-0.06,0.12,-0.18,-5.00,-21.00,-64.00
prone,-0.05,0.09,-0.99,0.06,0.06,-0.06,-4.00,-22.00,-62.00
prone,-0.05,0.09,-0.99,0.00,0.12,-0.12,-5.00,-23.00,-58.00
prone,-0.05,0.09,-0.99,0.00,0.12,-0.12,-7.00,-24.00,-56.00
prone,-0.05,0.09,-0.99,-0.06,0.12,-0.12,-4.00,-25.00,-61.00
prone,-0.05,0.09,-0.99,0.00,0.06,-0.12,-4.00,-22.00,-65.00
prone,-0.05,0.09,-0.99,0.06,0.12,-0.18,-6.00,-24.00,-61.00
prone,-0.05,0.09,-0.99,0.12,0.06,-0.12,-4.00,-23.00,-61.00
prone,-0.05,0.09,-0.99,0.00,0.06,-0.12,-4.00,-24.00,-57.00
prone,-0.05,0.09,-0.99,0.00,0.00,-0.18,-4.00,-22.00,-60.00
prone,-0.05,0.09,-0.99,0.06,0.18,-0.12,-3.00,-23.00,-61.00
prone,-0.05,0.09,-0.99,0.06,0.06,-0.12,-6.00,-22.00,-59.00
prone,-0.05,0.09,-0.99,0.06,0.06,-0.12,-5.00,-23.00,-58.00
prone,-0.05,0.09,-0.99,0.06,0.12,-0.12,-5.00,-22.00,-60.00
prone,-0.05,0.09,-0.99,0.06,0.12,-0.12,-4.00,-22.00,-61.00
prone,-0.05,0.09,-0.99,0.06,0.12,-0.18,-8.00,-20.00,-58.00
prone,-0.05,0.09,-0.99,0.00,0.06,-0.12,-6.00,-23.00,-59.00
prone,-0.05,0.09,-0.99,0.06,0.12,-0.18,-6.00,-22.00,-61.00
prone,-0.05,0.09,-0.99,0.00,0.06,-0.12,-4.00,-23.00,-63.00
prone,-0.05,0.09,-0.99,0.06,0.12,-0.12,-6.00,-24.00,-62.00
prone,-0.05,0.09,-0.99,0.06,0.12,-0.18,-4.00,-23.00,-60.00
prone,-0.05,0.09,-0.99,0.06,0.06,-0.12,-4.00,-21.00,-61.00
prone,-0.05,0.09,-0.99,0.00,0.12,-0.18,-4.00,-20.00,-63.00
prone,-0.05,0.09,-0.99,0.00,0.12,-0.18,-6.00,-25.00,-62.00
prone,-0.05,0.09,-0.99,0.00,0.12,-0.12,-6.00,-25.00,-60.00
prone,-0.05,0.09,-0.99,0.06,0.06,-0.12,-6.00,-22.00,-61.00
prone,-0.05,0.09,-0.99,0.06,0.12,-0.18,-6.00,-23.00,-54.00
prone,-0.05,0.09,-0.99,0.06,0.12,-0.12,-4.00,-22.00,-61.00
prone,-0.05,0.09,-0.99,0.06,0.06,-0.18,-6.00,-23.00,-55.00
prone,-0.05,0.09,-0.99,0.00,0.18,-0.12,-4.00,-22.00,-61.00
prone,-0.05,0.09,-0.99,0.06,0.12,-0.18,-5.00,-21.00,-68.00
prone,-0.05,0.09,-0.99,0.00,0.12,-0.06,-5.00,-24.00,-63.00
prone,-0.05,0.09,-0.99,0.00,0.12,-0.12,-6.00,-23.00,-62.00
prone,-0.05,0.09,-0.99,0.00,0.06,-0.12,-4.00,-21.00,-60.00
prone,-0.05,0.09,-0.99,0.06,0.12,-0.12,-5.00,-21.00,-59.00
prone,-0.05,0.09,-0.99,0.06,0.06,-0.18,-4.00,-23.00,-61.00
prone,-0.05,0.09,-0.99,0.00,0.12,-0.12,-5.00,-24.00,-60.00
prone,-0.05,0.09,-0.99,0.06,0.06,-0.12,-4.00,-23.00,-61.00
prone,-0.05,0.09,-0.99,0.06,0.06,-0.18,-4.00,-27.00,-59.00
prone,-0.05,0.09,-0.99,0.06,0.12,-0.12,-5.00,-24.00,-59.00
prone,-0.05,0.09,-0.99,0.06,0.12,-0.12,-6.00,-21.00,-62.00
